Gemeinde;AGS;Mietenstufe
Iffezheim;8216023;2
Igersheim;8128058;1
Iggingen;8136034;2
Ihringen;8315059;3
Illerkirchberg;8425137;2
Illerrieden;8425066;2
Illingen;8236028;2
Illmensee;8437056;1
Ilsfeld;8125046;2
Ilshofen;8127043;1
Ilvesheim;8226036;2
Immendingen;8327025;1
Immenstaad am Bodensee;8435024;4
Ingelfingen;8126039;1
Ingersheim;8118077;4
Ingoldingen;8426062;1
Inzigkofen;8437059;1
Inzlingen;8336043;3
Irndorf;8327027;1
Isny im Allgäu;8436049;3
Ispringen;8236030;2
Ittlingen;8125047;2
Jagsthausen;8125048;2
Jagstzell;8136035;2
Jestetten;8337060;2
Jettingen;8115053;4
Jungingen;8417036;1
Kaisersbach;8119037;2
Kämpfelbach;8236074;2
Kandern;8336045;3
Kanzach;8426064;1
Kappel-Grafenhausen;8317152;1
Kappelrodeck;8317056;1
Karlsbad;8215096;3
Karlsdorf-Neuthard;8215103;3
Karlsruhe;8212000;4
Kehl;8317057;3
Keltern;8236070;2
Kenzingen;8316020;2
Kernen im Remstal;8119093;5
Ketsch;8226037;4
Kieselbronn;8236031;2
Kippenheim;8317059;1
Kirchardt;8125049;2
Kirchberg an der Iller;8426065;1
Kirchberg an der Jagst;8127046;1
Kirchberg an der Murr;8119038;2
Kirchdorf an der Iller;8426066;1
Kirchentellinsfurt;8416022;4
Kirchheim am Neckar;8118040;4
Kirchheim am Ries;8136037;2
Kirchheim unter Teck;8116033;5
Kirchzarten;8315064;3
Kißlegg;8436052;2
Kleines Wiesental;8336107;3
Klettgau;8337062;2
Knittlingen;8236033;2
Kohlberg;8116036;3
Kolbingen;8327030;1
Köngen;8116035;5
Königheim;8128061;1
Königsbach-Stein;8236076;2
Königsbronn;8135025;1
Königseggwald;8436053;2
Königsfeld im Schwarzwald;8326031;2
Königsheim;8327029;1
Konstanz;8335043;5
Korb;8119041;4
Korntal-Münchingen;8118080;6
Kornwestheim;8118046;5
Kraichtal;8215097;2
Krauchenwies;8437065;1
Krautheim;8126045;1
Kreßberg;8127101;1
Kreßbronn am Bodensee;8435029;4
Kronau;8215039;2
Kuchen;8117033;2
Külsheim;8128064;1
Künzelsau;8126046;2
Kupferzell;8126047;1
Kuppenheim;8216024;2
Kürnbach;8215040;2
Küssaberg;8337125;2
Kusterdingen;8416023;4
Ladenburg;8226038;3
Lahr/Schwarzwald;8317065;2
Laichingen;8425071;2
Langenargen;8435030;4
Langenau;8425072;3
Langenbrettach;8125113;2
Langenburg;8127047;1
Langenenslingen;8426067;1
Lauchheim;8136038;2
Lauchringen;8337065;2
Lauda-Königshofen;8128139;1
